ime,Sedež,Svetovni rang 2025,Tržna kapitalzicija Dec-25-2022 (Billion $),Svetovni rang Jan 2022,Tržna vrednost Jan 2022 (Billion $),Kategorija,Število zaposlenih,Letni dohodek (Million $),Neto dohodek (Million $)
QATAR NATIONAL BANK,Qatar,340,46,371,51,Financial Services,28000,7632,3354
BANK OF COMMUNICATIONS,China,341,46,374,51,Financial Services,87828,39493,12874
DAIKIN INDUSTRIES,Japan,342,46,274,65,Industries,88000,22687,1589
FORD MOTOR COMPANY,USA,343,46,160,98,Consumer Cyclical,173000,158060,-1981
WOODSIDE ENERGY GROUP,Australia,344,46,1286,16,Energy,5000,6962,1983
ROPER TECHNOLOGIES,USA,345,46,399,49,Industries,15800,5371,4544
AUTOZONE,USA,346,46,483,42,Consumer Cyclical,112000,16252,2429
HON HAI PRECISION INDUSTRY,Taiwan,347,46,353,53,Technology,601276,206880,4808
ORIENTAL LAND,Japan,348,45,382,51,Consumer Cyclical,9094,2012,59
DEUTSCHE POST AG,Germany,349,45,212,78,Industries,600278,90085,5568
BASF SE,Germany,350,45,254,69,Basic Materials,111047,86615,6086
AMPHENOL CORPORATION,USA,351,45,395,49,Technology,91000,12623,1902
MUNCHENER RUCKVERSICHERUNGS-GESELLSCHAFT,Germany,352,45,463,43,Financial Services,39642,76540,3240
ING GROUP,Netherlands,353,45,325,56,Financial Services,57569,0,5264
SAMSUNG BIOLOGICS,South Korea,354,45,417,47,Healthcare,2730,1286,323
AFLAC,USA,355,45,490,41,Financial Services,12882,19502,4201
NATIONAL GRID TRANSCO,UK,356,45,361,52,Utilities,30756,21730,2771
SNOWFLAKE,USA,357,45,170,92,Technology,5884,2065,-796
FEDEX CORPORATION,USA,358,44,248,70,Industries,547000,93512,3819
IKEA,USA,358,,358,,Retail,211000,48734,
THE TRAVELERS COMPANIES,USA,359,44,497,41,Financial Services,32500,36884,2822
DSV PANALPINA,Denmark,359,,359,53,Industries,56000,26981,1658
ALIMENTATION COUCHE-TARD,Canada,360,44,476,42,Consumer Defensive,124000,62809,2683
CADENCE DESIGN SYSTEMS,USA,361,44,424,46,Technology,10200,3561,848
AMBEV,Brazil,362,44,500,41,Consumer Defensive,47108,15634,2719
AGILENT TECHNOLOGIES,USA,363,44,452,44,Healthcare,18100,6848,1254
MERCADOLIBRE,Argentina,364,44,342,55,Consumer Cyclical,40548,7069,83
JOHNSON CONTROLS INTERNATIONAL,USA,365,44,329,56,Industries,102000,25299,1532
ADYEN,Netherlands,366,44,224,75,Technology,1750,6606,517
LONGI GREEN ENERGY TECHNOLOGY,China,367,44,258,68,Technology,32873,11777,1322
HESS CORPORATION,USA,368,44,782,27,Energy,1623,11324,2223
UNIVERSAL MUSIC GROUP N.V.,Netherlands,369,44,,,Entertainment,9500,,
MACQUARIE GROUP,Australia,370,44,313,117,Financial Services,17209,4768,3258
KOTAK MAHINDRA BANK,India,371,43,383,50,Financial Services,71000,5793,1506
TOKIO MARINE HOLDINGS,Japan,372,43,496,41,Financial Services,43048,41970,3068
DEXCOM,USA,373,43,433,46,Healthcare,7600,2909,341
ADANI TOTAL GAS LIMITED,India,374,43,801,26,Utilities,,376,64
MOTOROLA SOLUTIONS,USA,375,43,473,43,Technology,20000,9112,1363
SHOPIFY,Canada,376,43,93,143,Technology,11600,4611,2914
CONSTELLATION BRANDS,USA,377,43,422,46,Consumer Defensive,10000,8820,-40
EXELON CORPORATION,USA,378,43,334,55,Utilities,19063,19078,2170
PALO ALTO NETWORKS,USA,379,43,362,52,Technology,12561,5501,-267
BIONTECH SE,Germany,380,43,369,51,Healthcare,4530,18970,10289
CHUGAI PHARMACEUTICAL,Japan,381,43,355,53,Healthcare,7664,8198,2485
SUNCOR ENERGY,Canada,382,42,527,39,Energy,16558,31259,3290
FORTESCUE METALS GROUP,Australia,383,42,440,45,Basic Materials,10164,22231,10295
CORTEVA,USA,384,42,587,35,Basic Materials,21000,17455,1147
INTESA SANPAOLO,Italy,385,42,349,54,Financial Services,105615,22427,4185
IHS MARKIT,UK,385,,385,50,Industries,16000,1860,-29
WORKDAY,USA,386,42,288,63,Technology,17700,6215,-366
BUDWEISER BREWING COMPANY APAC,Hong Kong,387,42,568,36,Consumer Defensive,28546,6788,950
PAYCHEX,USA,388,42,419,46,Industries,16000,4611,1392
FIRST GULF BANK,UAE,388,,388,,Banking Services,,,
SAUDI ARABIAN MINING COMPANY (MA&#039;ADEN),Saudi Arabia,389,42,803,26,Basic Materials,8000,7138,1394
SK HYNIX,South Korea,390,42,231,73,Technology,29008,35258,7874
REPUBLIC SERVICES,USA,391,41,474,42,Industries,35000,13511,1487
ECOLAB,USA,392,41,271,66,Basic Materials,47000,14187,1091
OVERSEA-CHINESE BANKING CORPORATION,Singapore,393,41,516,39,Financial Services,30809,7595,3491
DEVON ENERGY CORPORATION,USA,394,41,628,33,Energy,1800,19169,5958
NXP SEMICONDUCTORS,Netherlands,395,41,309,59,Technology,34500,11063,1871
COMPASS GROUP,UK,396,41,491,41,Consumer Cyclical,513707,23442,467
KINDER MORGAN,USA,397,41,518,39,Energy,10525,19200,2548
TC ENERGY CORPORATION,Canada,398,41,405,48,Energy,7477,10694,1562
