ime,Sedež,Svetovni rang 2025,Tržna kapitalzicija Dec-25-2022 (Billion $),Svetovni rang Jan 2022,Tržna vrednost Jan 2022 (Billion $),Kategorija,Število zaposlenih,Letni dohodek (Million $),Neto dohodek (Million $)
AMEREN CORPORATION,USA,726,23,922,23,Utilities,9244,7957,1074
OLYMPUS CORPORATION,Japan,727,23,738,28,Healthcare,31557,6340,845
RAYMOND JAMES FINANCIAL,USA,728,23,931,22,Financial Services,17000,10851,1502
PARTNERS GROUP HOLDING AG,Switzerland,729,23,504,41,Financial Services,1519,2688,1519
DATADOG,USA,730,23,444,45,Technology,4800,1675,-50
DTE ENERGY COMPANY,USA,731,23,900,23,Utilities,10250,19228,1080
CHINA RESOURCES BEER (HOLDINGS) COMPANY,Hong Kong,732,23,845,25,Consumer Defensive,27000,5245,721
FUBON FINANCIAL HOLDING,Taiwan,733,23,648,32,Financial Services,45174,16013,4777
NATIONAL BANK OF CANADA,Canada,734,23,788,27,Financial Services,26920,6847,2348
LI NING COMPANY,China,735,23,830,25,Consumer Cyclical,3625,185,33
AVALONBAY COMMUNITIES,USA,736,23,598,35,Real Estate,2947,2593,1136
UNICHARM CORPORATION,Japan,737,23,837,25,Consumer Defensive,16665,6418,597
ROGERS COMMUNICATIONS,Canada,738,23,851,25,Communication Services,22000,11706,1245
ANGLO AMERICAN PLATINUM,South Africa,739,23,671,31,Basic Materials,62000,14655,5394
SIRIUS XM HOLDINGS,USA,740,23,847,25,Communication Services,5869,9003,1217
FORTIVE CORPORATION,USA,741,23,819,26,Technology,18000,5825,755
CK HUTCHISON HOLDINGS,Hong Kong,742,23,811,26,Industries,172907,35794,4268
MERCADONA,USA,742,,742,,Retail,93300,,
AIR CHINA,China,743,23,1140,18,Industries,89373,10846,-2422
EMIRATES NBD,UAE,744,23,905,23,Banking Services,14000,6483,2368
COSCO SHIPPING HOLDINGS,China,745,23,458,44,Industries,26852,48560,12995
MCCORMICK &amp; COMPANY,USA,746,23,824,26,Consumer Defensive,14000,6350,682
SANDVIK AB,Sweden,747,23,588,35,Industries,40489,10406,1518
EQUITY RESIDENTIAL,USA,748,22,617,34,Real Estate,2400,2735,773
"CHINA THREE GORGES RENEWABLES (GROUP) CO.,LTD.",China,749,22,,,Solar Power,4420,,
HEINEKEN HOLDING,Netherlands,750,22,779,27,Consumer Defensive,84000,24179,1833
SLACK TECHNOLOGIES,USA,750,,750,28,Technology,2545,902,-300
CANON,Japan,751,22,831,25,Technology,25377,25637,1567
SSE PLC,UK,752,22,885,24,Utilities,10754,10139,3570
WARNER BROS. DISCOVERY INC,USA,753,22,1348,15,Communication Services,11000,33817,-7420
CK ASSET HOLDINGS,Hong Kong,754,22,908,23,Real Estate,58000,7923,2741
RESTAURANT BRANDS INTERNATIONAL LIMITED PARTNERSHIP,Canada,755,22,,,Restaurants,6400,,
FIFTH THIRD BANCORP,USA,756,22,621,33,Financial Services,19319,8295,2328
GRUPO FINANCIERO BANORTE,Mexico,757,22,996,21,Financial Services,27000,8113,1766
GOODMAN GROUP,Australia,758,22,637,33,Real Estate,1000,1417,2363
THE TRADE DESK,USA,759,22,539,38,Technology,2770,1577,53
TYSON FOODS,USA,760,22,630,33,Consumer Defensive,142000,53282,3238
INDUSTRIES QATAR,Qatar,761,22,787,27,Basic Materials,5700,3893,2222
CHINA UNITED NETWORK COMMUNICATIONS,Hong Kong,762,22,1068,19,Communication Services,254702,41785,804
PEUGEOT,France,762,,762,,Consumer Cyclical,209000,88183,
FIRST REPUBLIC BANK,USA,763,22,565,37,Financial Services,7213,5773,1507
STANDARD CHARTERED,UK,764,22,1022,20,Financial Services,85000,0,2315
TRIP.COM GROUP,China,765,22,1266,16,Consumer Cyclical,33400,3146,-86
EBAY,USA,766,22,484,42,Consumer Cyclical,11600,9795,-1269
KANSAS CITY SOUTHERN,USA,766,,766,27,Industries,7082,2632,616
ARCELORMITTAL,Luxembourg,767,22,662,32,Basic Materials,154352,76571,14956
PPL CORPORATION,USA,768,22,925,23,Utilities,6700,7902,755
CNH INDUSTRIAL,UK,769,22,961,22,Industries,40070,19474,1740
REPSOL,Spain,770,22,1133,18,Energy,23810,54819,2754
WEBANK,China,770,,770,,Technology,,,
DSM,Netherlands,771,22,553,37,Basic Materials,29000,9201,1670
CERNER CORPORATION,USA,772,,772,27,Healthcare,26400,5505,780
VERISIGN,USA,772,22,798,26,Technology,917,1424,673
CHINA EVERBRIGHT BANK COMPANY,China,773,22,769,27,Financial Services,46316,22468,6381
ONGC,India,774,21,796,26,Energy,30105,61473,5698
EDP RENOVAVEIS,Spain,775,21,979,21,Utilities,2730,1936,722
SOUTHWEST AIRLINES,USA,776,21,781,27,Industries,66100,23814,561
LEGRAND SA,France,777,21,681,31,Industries,37931,7707,996
ZTO EXPRESS (CAYMAN),China,778,21,913,23,Industries,,4777,747
JSW STEEL,India,779,21,968,22,Basic Materials,13128,18003,2587
PICC PROPERTY AND CASUALTY COMPANY,China,780,21,1041,20,Financial Services,,60812,3254
GREAT-WEST LIFECO,Canada,781,21,735,28,Financial Services,24500,51391,2847
SUNGROW POWER SUPPLY,China,782,21,704,30,Industries,,3512,230
EAST JAPAN RAILWAY COMPANY,Japan,783,21,939,22,Industries,71812,14441,-693
MITSUBISHI ELECTRIC CORPORATION,Japan,784,21,748,28,Industries,145696,32667,1485
DELTA AIR LINES,USA,785,21,794,27,Industries,95000,50582,1318
INGERSOLL-RAND (IRELAND),Ireland,786,21,871,24,Industries,17000,5150,562
SHANGHAI INTERNATIONAL AIRPORT,China,787,21,1339,15,Industries,8389,542,-249
HEICO CORPORATION,USA,788,21,1091,19,Industries,6500,2208,351
MARTIN MARIETTA MATERIALS,USA,789,21,785,27,Basic Materials,9400,6160,856
YANZHOU COAL MINING COMPANY,China,790,21,1380,15,Energy,63869,22118,2392
FLIPKART,India,790,,790,,eCommerce,30000,,
CARDINAL HEALTH,USA,791,21,1321,15,Healthcare,46500,181360,-933
EPIROC AB (PUBL),Sweden,792,21,720,29,Industries,13840,4163,741
TENARIS,Luxembourg,793,21,1501,13,Energy,19399,6521,1100
SUMITOMO CORPORATION,Japan,794,21,1115,18,Industries,74253,40097,3384
TERUMO CORPORATION,Japan,795,21,717,29,Healthcare,28294,5132,648
PRINCIPAL FINANCIAL GROUP,USA,796,21,1027,20,Financial Services,19300,17491,4811
ALLEGRO,Poland,796,,796,,eCommerce,2100,1042,191
KOMATSU,Japan,797,21,886,24,Industries,61564,20449,1641
ANHUI CONCH CEMENT COMPANY,China,798,21,606,34,Basic Materials,47486,26385,5231
ARGENX SE,Netherlands,799,21,1257,16,Healthcare,843,497,-408
FIRSTRAND,South Africa,800,21,927,23,Financial Services,49233,6457,1592
NAVER CORPORATION,South Korea,801,21,477,42,Communication Services,4076,5590,13522
JD DIGITS,China,801,,801,,Financial Services,,139880,-523
TELEFONICA SA,Spain,802,21,833,25,Communication Services,103651,43283,8967
TECHTRONIC INDUSTRIES COMPANY,Hong Kong,803,21,603,34,Industries,51426,13203,1099
ANSYS,USA,804,21,666,32,Technology,5600,2065,523
"SHANGHAI UNITED IMAGING HEALTHCARE CO., LTD.",China,805,21,,,Healthcare,5000,,
ECOPETROL,Colombia,806,21,756,27,Energy,18903,24404,4441
QUANTA SERVICES,USA,807,21,1330,15,Industries,47300,17073,491
WATERS CORPORATION,USA,808,21,986,21,Healthcare,8200,2971,707
SAUDI BRITISH BANK,Saudi Arabia,809,21,1094,19,Financial Services,5288,2118,854
LABORATORY CORPORATION OF AMERICA HOLDINGS,USA,810,21,760,27,Healthcare,80000,14876,1279
KLABIN,Brazil,811,20,848,25,Basic Materials,7000,3537,648
CGI,Canada,812,20,1018,20,Technology,90000,9686,1094
EVOLUTION GAMING GROUP AB (PUBL),Sweden,813,20,741,28,Consumer Cyclical,5054,1177,667
FUJIFILM HOLDINGS CORPORATION,Japan,814,20,698,30,Industries,75474,18431,1541
INSULET CORPORATION,USA,815,20,1180,17,Healthcare,2600,1305,4
NTT DATA CORPORATION,Japan,816,20,745,28,Technology,110700,18621,1043
BANCO SANTANDER BRASIL SA,Brazil,817,20,1025,20,Financial Services,52603,9550,1477
HUNTINGTON BANCSHARES,USA,818,20,844,25,Financial Services,25693,7254,2125
UPM-KYMMENE OYJ,Finland,819,20,994,21,Basic Materials,17236,10815,1417
HEWLETT PACKARD ENTERPRISE COMPANY,USA,820,20,943,22,Technology,60200,28496,868
SM INVESTMENTS CORPORATION,Philippines,821,20,917,23,Conglomerate,157288,7151,686
MICHELIN,France,822,20,680,31,Consumer Cyclical,132200,26222,2032
TESCO,UK,823,20,699,30,Consumer Defensive,354744,72299,1744
CHINA MINSHENG BANKING,China,824,20,825,26,Financial Services,59262,24814,5054
CHURCH &amp; DWIGHT,USA,825,20,817,26,Consumer Defensive,5250,5375,413
ATLANTIA,Italy,826,20,1296,16,Industries,30745,7043,690
DR. SULAIMAN AL HABIB MEDICAL SERVICES GROUP COMPANY,Saudi Arabia,827,20,1344,15,Healthcare,,1933,367
CHOW TAI FOOK JEWELLERY GROUP,Hong Kong,828,20,1267,16,Consumer Cyclical,27900,12610,855
ENDESA,Spain,829,20,894,23,Utilities,1244,23031,1581
SOCIETE GENERALE,France,830,20,673,31,Financial Services,117576,0,6216
RESTAURANT BRANDS INTERNATIONAL,Canada,831,20,1121,18,Consumer Cyclical,6300,5739,838
CONTURA ENERGY,USA,832,20,1165,18,Energy,981,,
REGIONS FINANCIAL CORPORATION,USA,833,20,878,24,Financial Services,20073,7165,2146
AKER BP ASA,Norway,834,20,1657,12,Energy,2400,5639,850
COMPANHIA PARANAENSE DE ENERGIA - COPEL,Brazil,835,20,1399,14,Utilities,6613,-753,1063
MARUBENI CORPORATION,Japan,836,20,1209,17,Industries,4610,62087,3096
EDP - ENERGIAS DE PORTUGAL,Portugal,837,20,1017,20,Utilities,12236,16511,724
XYLEM,USA,838,20,1000,21,Industries,17800,5522,355
SVENSKA HANDELSBANKEN AB (PUBL),Sweden,839,20,947,22,Financial Services,22000,0,2050
GANFENG LITHIUM,China,840,20,759,27,Basic Materials,5500,1624,761
SANY HEAVY INDUSTRY CO. LTD,China,841,20,631,33,Industries,24586,15552,1751
PANASONIC CORPORATION,Japan,842,20,793,27,Technology,240198,53916,1863
DOORDASH,USA,843,20,438,45,Online Food Delivery,16800,6583,-1365
EXTRA SPACE STORAGE,USA,844,20,743,28,Real Estate,4781,1924,859
GRUPO BIMBO,Mexico,845,20,1424,14,Consumer Defensive,137000,17566,801
ERICSSON,Sweden,846,20,547,38,Technology,101322,24393,2383
KIA MOTORS CORPORATION,South Korea,847,20,719,29,Consumer Cyclical,51975,57287,3904
TECK RESOURCES,Canada,848,20,1251,16,Basic Materials,12100,10769,2291
CHINA UNICOM (HONG KONG),China,849,20,1283,16,Communication Services,254702,47710,2091
SCHINDLER HOLDING AG,Switzerland,850,20,740,28,Industries,66674,11944,880
CHINA INTERNATIONAL CAPITAL CORPORATION,China,851,20,780,27,Financial Services,9372,5407,1132
ADANI PORTS AND SPECIAL ECONOMIC ZONE,India,852,20,1035,20,Industries,2600,1977,592
MOLINA HEALTHCARE,USA,853,20,1199,17,Healthcare,15000,31974,792
PTT EXPLORATION AND PRODUCTION PUBLIC COMPANY,Thailand,854,20,1381,15,Energy,4496,6544,1161
CHONGQING ZHIFEI BIOLOGICAL PRODUCTS,China,855,20,729,29,Healthcare,2972,4461,1485
W. R. BERKLEY CORPORATION,USA,856,19,1357,15,Financial Services,8186,11217,1381
BANCO DO BRASIL,Brazil,857,19,1391,14,Financial Services,91673,19116,3837
CRRC CORPORATION,China,858,19,823,26,Industries,164177,35462,1618
LONGFOR GROUP HOLDINGS,China,859,19,677,31,Real Estate,26316,35092,3747
NTPC,India,860,19,1169,17,Utilities,15786,16493,2087
FORTIS,Canada,861,19,951,22,Utilities,9200,7547,1034
PUBLIC BANK BERHAD,Malaysia,862,19,1071,19,Banking Services,18721,2808,1266
BIOMARIN PHARMACEUTICAL,USA,863,19,1308,15,Healthcare,3082,2096,141
CENTRAIS ELETRICAS BRASILEIRAS - ELETROBRAS,Brazil,864,19,2141,8,Utilities,12160,8008,1202
TEXAS PACIFIC LAND TRUST,USA,865,19,1926,10,Energy,94,667,446
CENTERPOINT ENERGY,USA,866,19,1173,17,Utilities,8986,9321,1008
ZOOM VIDEO COMMUNICATIONS,USA,867,19,372,51,Communication Services,8484,4392,103
CARLSBERG A/S,Denmark,868,19,859,24,Consumer Defensive,39000,9862,1013
WILMAR INTERNATIONAL,Singapore,869,19,1030,20,Consumer Defensive,100000,65793,1890
CITIZENS FINANCIAL GROUP,USA,870,19,902,23,Financial Services,18889,8021,1960
AES CORPORATION,USA,871,19,1317,15,Utilities,9100,12617,-546
CAPITAL GROUP,USA,871,,871,,,7500,,
AENA S.M.E,Spain,872,19,854,25,Industries,9061,2554,-66
FERROVIAL,Spain,873,19,958,22,Industries,18515,7469,1319
SWEDBANK AB (PUBL),Sweden,874,19,918,23,Financial Services,16803,0,2191
ORIX CORPORATION,Japan,875,19,832,25,Financial Services,32235,11494,2278
Z HOLDINGS CORPORATION,Japan,876,19,478,42,Consumer Cyclical,12874,11437,564
NEXON,Japan,877,19,1203,17,Communication Services,6288,2251,942
CHINA TOWER CORPORATION,China,878,19,1002,21,Communication Services,23300,13603,1151
DOVER CORPORATION,USA,879,19,800,26,Industries,25000,8508,1065
CHINA RAILWAY GROUP,China,880,19,937,22,Industries,290000,168600,4338
EISAI,Japan,881,19,1258,16,Healthcare,10998,5518,350
PEMBINA PIPELINE CORPORATION,Canada,882,19,1184,17,Energy,2669,6891,992
CELLTRION,South Korea,883,19,985,21,Healthcare,2111,1568,472
EPAM SYSTEMS,USA,884,19,667,32,Technology,59250,4824,419
CONAGRA BRANDS,USA,885,19,1217,17,Consumer Defensive,18000,11535,888
KE HOLDINGS INC.,China,886,19,860,24,Real Estate,119658,12686,-82
MAHINDRA &amp; MAHINDRA,India,887,19,1455,14,Consumer Cyclical,140619,11172,823
HOLOGIC,USA,888,19,1159,18,Healthcare,6944,4862,1302
ANTOFAGASTA,UK,889,19,1134,18,Basic Materials,23248,7470,1290
BOE TECHNOLOGY GROUP COMPANY,China,890,19,689,31,Technology,65017,31914,3759
KAO CORPORATION,Japan,891,18,858,25,Consumer Defensive,33603,11634,899
CMS ENERGY CORPORATION,USA,892,18,1095,19,Utilities,9073,8596,827
VONOVIA SE,Germany,893,18,479,42,Real Estate,15871,3622,2640
TELEDYNE TECHNOLOGIES,USA,894,18,1052,20,Technology,14700,5458,788
J.B. HUNT TRANSPORT SERVICES,USA,895,18,992,21,Industries,37151,14813,969
NORTHERN TRUST CORPORATION,USA,896,18,776,27,Financial Services,25000,6761,1282
NIPPON PAINT HOLDINGS,Japan,897,18,829,25,Basic Materials,33000,9085,606
WARNER MUSIC GROUP CORP.,USA,898,18,1010,21,Communication Services,6200,5919,551
NIO INC,China,899,18,416,47,Consumer Cyclical,7763,5677,-1661
PAYCOM SOFTWARE,USA,900,18,975,21,Technology,6300,1375,281
LI AUTO INC,China,901,18,688,31,Consumer Cyclical,4181,4243,-50
SHISEIDO COMPANY,Japan,902,18,955,22,Consumer Defensive,39035,8488,348
GEORGE WESTON,Canada,903,18,1204,17,Consumer Defensive,221285,42934,344
VIACOM CBS,USA,904,,904,23,Communication Services,22965,27810,3308
INVITATION HOMES,USA,904,18,826,26,Real Estate,1511,2238,382
ROLLINS,USA,905,18,1224,17,Consumer Cyclical,17000,2695,368
ESSITY AB (PUBL),Sweden,906,18,929,23,Consumer Defensive,48000,12796,905
WABTEC CORPORATION,USA,907,18,1153,18,Industries,27000,8362,633
M3 Inc,Japan,908,18,703,30,Healthcare,7127,1519,466
SAUDI ARABIAN FERTILIZERS COMPANY,Saudi Arabia,909,18,981,21,Basic Materials,,7138,1394
NU HOLDINGS LTD.,Brazil,910,18,464,43,Financial Services,,1698,-164
LEGAL &amp; GENERAL GROUP,UK,911,18,842,25,Financial Services,13876,58239,2683
KAKAO,South Korea,912,18,569,36,Communication Services,2837,5032,1142
VENTAS,USA,913,18,974,21,Real Estate,434,4129,-47
DUKE REALTY CORPORATION,USA,914,,914,23,Real Estate,340,1105,852
STERIS,Ireland,914,18,891,23,Healthcare,16422,4584,243
WHEATON PRECIOUS METALS,Canada,915,18,1174,17,Basic Materials,41,1201,754
NAN YA PLASTICS CORPORATION,Taiwan,916,18,846,25,Basic Materials,11697,14343,2832
JA SOLAR TECHNOLOGY,China,917,18,984,21,Technology,25183,6010,297
INCYTE CORPORATION,USA,918,18,1253,16,Healthcare,2324,3394,340
CHINA MENGNIU DAIRY COMPANY,Hong Kong,919,18,896,23,Consumer Defensive,43397,12826,731
AEON CO LTD,Japan,920,18,1055,20,Retail,560000,63600,47
MID-AMERICA APARTMENT COMMUNITIES,USA,921,18,843,25,Real Estate,2387,2019,633
BAOSHAN IRON &amp; STEEL,China,922,18,791,27,Basic Materials,52323,53163,3439
OTSUKA HOLDINGS,Japan,923,18,1039,20,Healthcare,33482,12286,1029
STEEL DYNAMICS,USA,924,18,1586,12,Basic Materials,12060,22260,3862
BEST BUY,USA,925,18,852,25,Consumer Cyclical,90000,46298,1419
CLP HOLDINGS,Hong Kong,926,18,834,25,Utilities,7959,10698,1081
FORMOSA PLASTICS CORPORATION,Taiwan,927,18,866,24,Basic Materials,2900,9532,2486
GULF ENERGY DEVELOPMENT PUBLIC COMPANY,Thailand,928,18,1260,16,Utilities,832,1314,212
AMCOR,Australia,929,18,1117,18,Consumer Cyclical,44000,10068,555
CATHAY FINANCIAL HOLDING,Taiwan,930,18,711,30,Financial Services,57848,20549,4610
WENS FOODSTUFF GROUP,China,931,18,1034,20,Consumer Defensive,50024,9454,-1951
POWER GRID CORPORATION OF INDIA,India,932,18,1402,14,Utilities,8536,5111,2106
VEOLIA ENVIRONNEMENT,France,933,18,818,26,Industries,179718,28500,404
QINGHAI SALT LAKE INDUSTRY,China,934,18,765,27,Basic Materials,,2151,652
EPIC Games,USA,934,,934,,Technology,6825,4200,
DIDI GLOBAL INC.,China,935,18,966,22,Technology,15914,25296,-7281
QUEST DIAGNOSTICS,USA,936,18,1079,19,Healthcare,49000,9883,942
CF INDUSTRIES HOLDINGS,USA,937,18,1365,15,Basic Materials,2700,11186,3346
WELLCARE HEALTH PLANS,USA,938,,938,,Healthcare,14000,,
CEZ A. S,Czech Republic,938,18,1031,20,Utilities,27200,9595,398
THE CLOROX COMPANY,USA,939,18,946,22,Consumer Defensive,9000,7107,462
CHONGQING CHANGAN AUTOMOBILE COMPANY,China,940,18,1103,19,Consumer Cyclical,36764,15300,517
